BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Coldwell Banker Advantage",Contingent,720000,2,1430,"190 Chestnut Ave","Staten Island, NY 10305","190 Chestnut Ave, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Chestnut Avenue","190 Chestnut Ave, Staten Island, NY 10305, USA",40.6149561,-74.0745548
"Brokered by Douglas Elliman - 237 Smith St","Co-op for sale",599000,1,1200,"7901 4th Ave Apt F7","Brooklyn, NY 11209","7901 4th Ave Apt F7, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",7901,"7901 4th Ave Apt D7, Brooklyn, NY 11209, USA",40.6279352,-74.0260154
"Brokered by Douglas Elliman - Franklin Square","Co-op for sale",319000,1,960,"58-42 251st St Unit 190","Little Neck, NY 11362","58-42 251st St Unit 190, Little Neck, NY 11362","United States","New York","Queens County",Queens,"251st Street","58- 42 251st St, Queens, NY 11362, USA",40.7598591,-73.7290086
"Brokered by Keller Williams Rlty Landmark","Multi-family home for sale",950000,6,2178,"18-29 George St","Ridgewood, NY 11385","18-29 George St, Ridgewood, NY 11385","United States","New York","Queens County",Queens,"George Street","18-29 George St, Flushing, NY 11385, USA",40.7000145,-73.9010076
"Brokered by Better Homes and Gardens Real Estate Safari Realty","House for sale",1250000,4,3300,"24 Gianna Ct","Staten Island, NY 10306","24 Gianna Ct, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Gianna Court","24 Gianna Ct, Staten Island, NY 10306, USA",40.5675492,-74.140764
"Brokered by Claire Properties","House for sale",774888,2,960,"417 Genesee Ave","Staten Island, NY 10312","417 Genesee Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Genesee Avenue","417 Genesee Ave, Staten Island, NY 10312, USA",40.5525576,-74.1709014
"Brokered by Robert E. Hill, Inc.","Co-op for sale",105509,1,650,"60 Knolls Cres Apt 8F","Bronx, NY 10463","60 Knolls Cres Apt 8F, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",60,"60 Knolls Crescent #8f, Bronx, NY 10463, USA",40.879078,-73.9175196
"Brokered by Douglas Elliman  -111 Fifth Ave","Multi-family home for sale",995000,2,2178,"544 Madison St","Brooklyn, NY 11221","544 Madison St, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Madison Street","544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
"Brokered by Douglas Elliman  -111 Fifth Ave","Multi-family home for sale",995000,2,2188,"544 Madison St","Brooklyn, NY 11221","544 Madison St, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Madison Street","544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
"Brokered by Ooakb&F Inc","Co-op for sale",395995,1,1100,"5601 Riverdale Ave Apt 2B","Bronx, NY 10471","5601 Riverdale Ave Apt 2B, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5601,"5601 Riverdale Ave #2b, Bronx, NY 10471, USA",40.9048823,-73.9051113
"Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate","For sale",975000,2,900,"235 E 55th St Apt 45B","New York, NY 10022","235 E 55th St Apt 45B, New York, NY 10022","New York","New York County","New York",Manhattan,231-235,"231-235 E 55th St # 45a, New York, NY 10022, USA",40.7585686,-73.9669708
"Brokered by Morris Park Realty Group","House for sale",499999,1,1744,"616 City Island Ave","Bronx, NY 10464","616 City Island Ave, Bronx, NY 10464","United States","New York","Bronx County","The Bronx","City Island Avenue","616 City Island Ave, Bronx, NY 10464, USA",40.8549429,-73.7908303
"Brokered by Douglas Elliman - 1995 Broadway","Co-op for sale",1649000,2,2169,"165 W End Ave Apt 7N","New York, NY 10023","165 W End Ave Apt 7N, New York, NY 10023","New York","New York County","New York",Manhattan,165,"165 West End Ave #7n, New York, NY 10023, USA",40.777244,-73.9868738
"Brokered by EXP Realty","Co-op for sale",365000,1,2179,"83-40 Austin St Unit 3E","Kew Gardens, NY 11415","83-40 Austin St Unit 3E, Kew Gardens, NY 11415","New York","Queens County",Queens,Jamaica,83-40,"83-40 Austin St #3e, Jamaica, NY 11415, USA",40.7083799,-73.8290102
"Brokered by Keller Williams Legendary","House for sale",635000,2,2166,"118-14 201st Pl","Saint Albans, NY 11412","118-14 201st Pl, Saint Albans, NY 11412","United States","New York","Queens County",Queens,"201 Place","118-14 201 Pl, St. Albans, NY 11412, USA",40.6933533,-73.7503369
"Brokered by Capri Jet Realty Corp","House for sale",1099000,2,1760,"84-11 165th Ave","Howard Beach, NY 11414","84-11 165th Ave, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"165th Avenue","84-11 165th Ave, Jamaica, NY 11414, USA",40.6481943,-73.8452374
"Brokered by Prereal Prendamano Real Estate","Land for sale",3950000,2.5,2191,"750 Barclay Ave","Staten Island, NY 10312","750 Barclay Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Barclay Avenue","750 Barclay Ave, Staten Island, NY 10312, USA",40.525422,-74.166603
"Brokered by Gateway Arms Realty Corp.","House for sale",675000,1,1404,"44 Hunter Pl","Staten Island, NY 10301","44 Hunter Pl, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Hunter Place","44 Hunter Pl, Staten Island, NY 10301, USA",40.6333513,-74.1021333
"Brokered by Century 21 Amiable Realty Group II, Inc.","House for sale",2650000,6,2187,"87-07 158th Ave","Howard Beach, NY 11414","87-07 158th Ave, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"158th Avenue","87-07 158th Ave, Jamaica, NY 11414, USA",40.660323,-73.8455929
"Brokered by PAULEMA REALTY GROUP INC","Land for sale",2999950,2.5,2189,"9115-9119 Bedell Ln","Canarsie, NY 11236","9115-9119 Bedell Ln, Canarsie, NY 11236","United States","New York","Kings County",Brooklyn,"Bedell Lane","9115 Bedell Ln, Brooklyn, NY 11236, USA",40.6444117,-73.9100389
"Brokered by Liberty Chateau Realty Inc","Townhouse for sale",559900,2,980,"18 Navigator Ct","Staten Island, NY 10309","18 Navigator Ct, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Navigator Court","18 Navigator Ct, Staten Island, NY 10309, USA",40.5132339,-74.1959753
"Brokered by Coldwell Banker American Homes","House for sale",549000,1,2161,"122-04 115th Ave","South Ozone Park, NY 11420","122-04 115th Ave, South Ozone Park, NY 11420","United States","New York","Queens County",Queens,"115th Avenue","122-4 115th Ave, South Ozone Park, NY 11420, USA",40.6776809,-73.8166457
"Brokered by Countrywide Real Estate Inc","Land for sale",289000,2.5,2204,"633 Mead St","Bronx, NY 10460","633 Mead St, Bronx, NY 10460","United States","New York","Bronx County","The Bronx","Mead Street","633 Mead St, Bronx, NY 10460, USA",40.842629,-73.8665973
"Brokered by C&R Real Estate Group NY LLC","Land for sale",790000,2.5,2197,"1815 College Point Blvd","College Point, NY 11356","1815 College Point Blvd, College Point, NY 11356","United States","New York","Queens County",Queens,"College Point Boulevard","1815 College Point Blvd, College Point, NY 11356, USA",40.7827104,-73.8457691
"Brokered by Brooklyn Bound Realty Corp","House for sale",2295000,4,3632,"235 W 138th St","New York, NY 10030","235 W 138th St, New York, NY 10030","United States","New York","New York County","New York","West 138th Street","235 W 138th St, New York, NY 10030, USA",40.8180374,-73.9436858
"Brokered by NextHome Prestige","House for sale",1150000,4,3000,"335 Preston Ave","Staten Island, NY 10312","335 Preston Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Preston Avenue","335 Preston Ave, Staten Island, NY 10312, USA",40.5343966,-74.1582874
"Brokered by NEW PROSPECTIVE REALTY INC","Land for sale",350000,2.5,2187,"2532 Atlantic Ave","Brooklyn, NY 11207","2532 Atlantic Ave, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Atlantic Avenue","2532 Atlantic Ave, Brooklyn, NY 11207, USA",40.6753179,-73.9008593
"Brokered by TREBACH REALTY INC","Land for sale",450000,2.5,2178,"9 Alderbrook Rd","Bronx, NY 10471","9 Alderbrook Rd, Bronx, NY 10471","United States","New York","Bronx County","The Bronx","Alderbrook Road","9 Alderbrook Rd, Bronx, NY 10471, USA",40.89582,-73.9110766
"Brokered by Real Estate Top Sales Llc","Land for sale",350000,2.5,2200,"8 Lake Ave","Brooklyn, NY 11235","8 Lake Ave, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Lake Avenue","8 Lake Ave, Brooklyn, NY 11235, USA",40.5844107,-73.9380366
"Brokered by Truhomes Realty Group","Land for sale",150000,2.5,2178,"48 Cedarcliff Rd","Staten Island, NY 10301","48 Cedarcliff Rd, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Cedarcliff Road","48 Cedarcliff Rd, Staten Island, NY 10301, USA",40.6170275,-74.0893192
NoBroker,"Co-op for sale",235000,2,1400,"143-50 Hoover Ave Unit 307","Jamaica, NY 11435","143-50 Hoover Ave Unit 307, Jamaica, NY 11435","New York","Queens County",Queens,Jamaica,14350,"14350 Hoover Ave Apt 307, Jamaica, NY 11435, USA",40.7142299,-73.8152
"Brokered by Sovereign Realty Of Ny Inc","Land for sale",199000,2.5,2161,"164th Dr","Howard Beach, NY 11414","164th Dr, Howard Beach, NY 11414",11414,"United States","New York","Queens County","Old Howard Beach","164th Dr, Queens, NY 11414, USA",40.6511537,-73.8284146
"Brokered by Landair Property Advisors, LLC","Land for sale",2200000,2.5,2187,"75-43 113th St","Forest Hills, NY 11375","75-43 113th St, Forest Hills, NY 11375","United States","New York","Queens County",Queens,"113th Street","75-43 113th St, Flushing, NY 11375, USA",40.7185125,-73.834819
"Brokered by Neman Yoska","Land for sale",149000,2.5,2186,"644 Jefferson Ave","Staten Island, NY 10306","644 Jefferson Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Jefferson Avenue","644 Jefferson Ave, Staten Island, NY 10306, USA",40.5742632,-74.086609
"Brokered by Sowae Corp","House for sale",215000,2,2000,"408 Van Siclen Ave","Brooklyn, NY 11207","408 Van Siclen Ave, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Van Siclen Avenue","408 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6694978,-73.8897534
"Brokered by BKNY TROY AVENUE REALTY CORP","House for sale",299000,2,2209,"219 Beach 44 St","Far Rockaway, NY 11691","219 Beach 44 St, Far Rockaway, NY 11691","United States","New York","Queens County",Queens,"Beach 44th Street","219 Beach 44th St, Far Rockaway, NY 11691, USA",40.593404,-73.775651
"Brokered by JL Capital Real Estate Corp","Land for sale",795000,2.5,2182,"1761 Topping Ave","Bronx, NY 10457","1761 Topping Ave, Bronx, NY 10457","United States","New York","Bronx County","The Bronx","Topping Avenue","1761 Topping Ave, Bronx, NY 10457, USA",40.8457524,-73.9059682
"Brokered by JL Capital Real Estate Corp","Land for sale",1245000,2.5,2203,"5437 Fieldston Rd","Bronx, NY 10471","5437 Fieldston Rd, Bronx, NY 10471","United States","New York","Bronx County","The Bronx","Fieldston Road","5437 Fieldston Rd, Bronx, NY 10471, USA",40.902657,-73.901871
"Brokered by Crifasi Real Estate Inc","Land for sale",549000,2.5,2191,"1385 Dekalb Ave","Brooklyn, NY 11221","1385 Dekalb Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Dekalb Avenue","1385 Dekalb Ave, Brooklyn, NY 11221, USA",40.699454,-73.924234
"Brokered by Douglas Elliman - 1995 Broadway","Condo for sale",7495000,4,2888,"378 W End Ave Apt 4A","New York, NY 10024","378 W End Ave Apt 4A, New York, NY 10024","New York","New York County","New York",Manhattan,378,"378 West End Ave #4a, New York, NY 10024, USA",40.7833319,-73.9815796
"Brokered by Keller Williams NYC","Townhouse for sale",2850000,4,4080,"30-53 35th St","Queens, NY 11103","30-53 35th St, Queens, NY 11103","United States","New York","Queens County",Queens,"35th Street","30-53 35th St, Long Island City, NY 11103, USA",40.7639241,-73.9190583
"Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester","Co-op for sale",215000,2,747,"127C Edgewater Park Unit C","Bronx, NY 10465","127C Edgewater Park Unit C, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Edgewater Park","127 D Edgewater Park, Bronx, NY 10465, USA",40.8233271,-73.8110122
"Brokered by CENTURY 21 Achievers","Land for sale",299000,2.5,2169,"621 E 87th St","Brooklyn, NY 11236","621 E 87th St, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"East 87th Street","621 E 87th St, Brooklyn, NY 11236, USA",40.6415965,-73.9105958
"Brokered by Momentum Real Estate LLC","Multi-family home for sale",898000,3,2100,"15 Spratt Ave","Staten Island, NY 10306","15 Spratt Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Spratt Avenue","15 Spratt Ave, Staten Island, NY 10306, USA",40.5586967,-74.1351001
"Brokered by Signature Premier Properties","Co-op for sale",275000,1,900,"1910 Pelham Pkwy S Apt 2A","Bronx, NY 10461","1910 Pelham Pkwy S Apt 2A, Bronx, NY 10461","New York","Bronx County","The Bronx","Pelham Bay",1910,"1910 Pelham Pkwy S #2a, Bronx, NY 10461, USA",40.8554764,-73.8287193
"Brokered by Drop Key Realty LLC","House for sale",599000,2,1682,"114-36 Sutter Ave","South Ozone Park, NY 11420","114-36 Sutter Ave, South Ozone Park, NY 11420","United States","New York","Queens County",Queens,"Sutter Avenue","114-36 Sutter Ave, Jamaica, NY 11420, USA",40.6747343,-73.8239749
"Brokered by Blooming Realty","Multi-family home for sale",678990,3,1575,"155 Wellbrook Ave","Staten Island, NY 10314","155 Wellbrook Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Wellbrook Avenue","155 Wellbrook Ave, Staten Island, NY 10314, USA",40.6012318,-74.1300175
"Brokered by SUPERIOR REALTY SERVICE","House for sale",800000,2,1824,"2660 Mill Ave","Brooklyn, NY 11234","2660 Mill Ave, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Mill Avenue","2660 Mill Ave, Brooklyn, NY 11234, USA",40.608799,-73.9128174
"Brokered by Taranto Realty","Condo for sale",549000,2,1092,"4 Jamie Ct","Staten Island, NY 10314","4 Jamie Ct, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Jamie Court","4 Jamie Ct, Staten Island, NY 10314, USA",40.6221107,-74.1499982
"Brokered by Compass Realty Central Inc.","House for sale",849000,2,2000,"329 Wainwright Ave","Staten Island, NY 10312","329 Wainwright Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Wainwright Avenue","329 Wainwright Ave, Staten Island, NY 10312, USA",40.5528489,-74.1699382
"Brokered by Sowae Corp","House for sale",130000,2.5,664,"263 South Ave","Staten Island, NY 10303","263 South Ave, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","South Avenue","263 South Ave, Staten Island, NY 10303, USA",40.6330671,-74.1659477
"Brokered by RE MAX Real Estate Professionals","Multi-family home for sale",799900,2,1750,"2339 Brigham St","Brooklyn, NY 11229","2339 Brigham St, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"Brigham Street","2339 Brigham St, Brooklyn, NY 11229, USA",40.5956263,-73.933927
"Brokered by Century 21 Amiable Realty Group II, Inc.","Co-op for sale",295000,1,2180,"155-23 79th St Unit 2","Howard Beach, NY 11414","155-23 79th St Unit 2, Howard Beach, NY 11414","New York","Queens County",Queens,"Howard Beach","155- 23","155- 23 79th St #2, Howard Beach, NY 11414, USA",40.6633466,-73.8542803
"Brokered by Berkshire Hathaway HomeServices New York Properties - Scarsdale","Co-op for sale",159000,1,1010,"3531 Bronxwood Ave Apt Stb","Bronx, NY 10469","3531 Bronxwood Ave Apt Stb, Bronx, NY 10469","United States","New York","Bronx County","The Bronx","Bronxwood Avenue","3531 Bronxwood Ave, Bronx, NY 10469, USA",40.8762047,-73.8603621
"Brokered by Douglas Elliman - Bayside","House for sale",999500,2,1144,"157-23 16th Rd","Whitestone, NY 11357","157-23 16th Rd, Whitestone, NY 11357","United States","New York","Queens County",Queens,"16th Road","157-23 16th Rd, Flushing, NY 11357, USA",40.784332,-73.8045713
"Brokered by Robert Defalco Realty, Inc.",Contingent,589000,2,2310,"68 Davis Ave","Staten Island, NY 10310","68 Davis Ave, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Davis Avenue","68 Davis Ave, Staten Island, NY 10310, USA",40.6426635,-74.1108512
"Brokered by EXP REALTY","Condo for sale",329000,1,850,"55 Austin Pl Apt 6Z","Staten Island, NY 10304","55 Austin Pl Apt 6Z, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Austin Place","55 Austin Pl, Staten Island, NY 10304, USA",40.6316141,-74.0858954
"Brokered by BEN BAY REALTY, CO.","House for sale",1188000,2,1580,"1268 76th St","Brooklyn, NY 11228","1268 76th St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"76th Street","1268 76th St, Brooklyn, NY 11228, USA",40.6198659,-74.0087151
"Brokered by Real Broker NY LLC",Contingent,614900,2,1495,"30 Cunard Ave","Staten Island, NY 10304","30 Cunard Ave, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Cunard Avenue","30 Cunard Ave, Staten Island, NY 10304, USA",40.6142391,-74.0884134
"Brokered by Keller Williams Realty NYC Grp","House for sale",599000,2,1500,"242 E 235th St","Bronx, NY 10470","242 E 235th St, Bronx, NY 10470","United States","New York","Bronx County","The Bronx","East 235th Street","242 E 235th St, Bronx, NY 10470, USA",40.8972473,-73.868898
"Brokered by RE/MAX Team","Multi-family home for sale",950000,2,2207,"31-15 102 St","Corona, NY 11368","31-15 102 St, Corona, NY 11368","United States","New York","Queens County",Queens,"102nd Street","31-15 102nd St, East Elmhurst, NY 11369, USA",40.7608129,-73.8669195
"Brokered by Ashford Homes","Land for sale",348000,2.5,2193,"952 Olympia Blvd","Staten Island, NY 10306","952 Olympia Blvd, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Olympia Boulevard","952 Olympia Blvd, Staten Island, NY 10306, USA",40.575138,-74.090531
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",965000,1,540,"9 Dekalb Ave Unit 54E","Brooklyn, NY 11201","9 Dekalb Ave Unit 54E, Brooklyn, NY 11201","New York","Kings County",Brooklyn,"Downtown Brooklyn",9,"9 Dekalb Ave #54, Brooklyn, NY 11201, USA",40.6903851,-73.9825343
"Brokered by Unlimited Homes Realty Inc","House for sale",460000,3,2256,"26 Durland Pl","Brooklyn, NY 11236","26 Durland Pl, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"Durland Place","26 Durland Pl, Brooklyn, NY 11236, USA",40.641648,-73.9064568
"Brokered by Stuyvesant Heights Realty Corp","Multi-family home for sale",825000,6,2189,"344 Ashford St","Brooklyn, NY 11207","344 Ashford St, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Ashford Street","344 Ashford St, Brooklyn, NY 11230, USA",40.6739463,-73.885344
"Brokered by Keller Williams Realty Liberty","Co-op for sale",259500,1,2205,"123-35 82nd Rd Unit 5H","Kew Gardens, NY 11415","123-35 82nd Rd Unit 5H, Kew Gardens, NY 11415","New York","Queens County",Queens,"Kew Gardens",123-35,"123-35 82nd Rd #5h, Kew Gardens, NY 11415, USA",40.7121373,-73.8277084
"Brokered by Integrity Core Realty","Condo for sale",749000,2,1300,"13-22 208th Pl Unit 1605","Bayside, NY 11360","13-22 208th Pl Unit 1605, Bayside, NY 11360","New York","Queens County",Queens,Bayside,1322,"1322 208th Pl #1605, Bayside, NY 11360, USA",40.7874921,-73.7858086
"Brokered by RE MAX Elite","House for sale",575000,1,900,"190 Beach 109th St","Rockaway Park, NY 11694","190 Beach 109th St, Rockaway Park, NY 11694","United States","New York","Queens County",Queens,"Beach 109th Street","190 Beach 109th St, Rockaway Park, NY 11694, USA",40.5809134,-73.8302012
"Brokered by Homesmart Homes and Estates","Multi-family home for sale",849000,2,2180,"2033 Hobart Ave","Bronx, NY 10461","2033 Hobart Ave, Bronx, NY 10461","United States","New York","Bronx County","The Bronx","Hobart Avenue","2033 Hobart Ave, Bronx, NY 10461, USA",40.8528127,-73.8312235
NoBroker,"House for sale",875000,2,1214,"244-89 61st Ave","Little Neck, NY 11362","244-89 61st Ave, Little Neck, NY 11362","United States","New York","Queens County",Queens,"61st Avenue","244-89 61st Ave, Flushing, NY 11362, USA",40.7565472,-73.7339718
"Brokered by Neuhaus Realty, Inc.","House for sale",599999,2,1360,"68 Watchogue Rd","Staten Island, NY 10314","68 Watchogue Rd, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Watchogue Road","68 Watchogue Rd, Staten Island, NY 10314, USA",40.613911,-74.133028
"Brokered by Real Broker NY LLC","Multi-family home for sale",1150000,3,2166,"162-14 97th St","Howard Beach, NY 11414","162-14 97th St, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"97th Street","162-14 97th St, Howard Beach, NY 11414, USA",40.6542535,-73.8350556
"Brokered by RE MAX Edge",Pending,1188000,2.5,3840,"139 Atlantic Ave","Staten Island, NY 10304","139 Atlantic Ave, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Atlantic Avenue","139 Atlantic Ave, Staten Island, NY 10304, USA",40.5929709,-74.0937822
"Brokered by Tom Marco Real Estate, Inc.",Foreclosure,579900,2.5,2640,"241 Westervelt Ave","Staten Island, NY 10301","241 Westervelt Ave, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Westervelt Avenue","241 Westervelt Ave, Staten Island, NY 10301, USA",40.6422293,-74.0830445
"Brokered by Sowae Corp","House for sale",250000,1,1376,"4413 Avenue M","Brooklyn, NY 11234","4413 Avenue M, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue M","4413 Avenue M, Brooklyn, NY 11234, USA",40.6212165,-73.9324344
"Brokered by Daniel Gale Sotheby's International Realty","Townhouse for sale",1648000,4,1751,"7 Middlemay Cir","Queens, NY 11375","7 Middlemay Cir, Queens, NY 11375","United States","New York","Queens County",Queens,"Middlemay Circle","7 Middlemay Cir, Flushing, NY 11375, USA",40.7179519,-73.8427778
"Brokered by Voro Llc","House for sale",1675000,5,2178,"85-33 Radnor St","Jamaica, NY 11432","85-33 Radnor St, Jamaica, NY 11432","United States","New York","Queens County",Queens,"Radnor Street","85-33 Radnor St, Jamaica, NY 11432, USA",40.7169141,-73.7831551
"Brokered by EXIT REALTY PREMIER","House for sale",950000,2,1748,"66-23 Alderton St","Rego Park, NY 11374","66-23 Alderton St, Rego Park, NY 11374","United States","New York","Queens County",Queens,"Alderton Street","66-23 Alderton St, Flushing, NY 11374, USA",40.7188985,-73.8587988
"Brokered by COMPASS","Co-op for sale",449500,1,2193,"180 Thompson St Apt Ld","Manhattan, NY 10012","180 Thompson St Apt Ld, Manhattan, NY 10012","United States","New York","New York County","New York","Thompson Street","180 Thompson St, New York, NY 10012, USA",40.7278952,-73.9998294
"Brokered by All American Realty Management",Pending,184888,1,500,"2902745 35 98th St Unit 15A","Queens, NY 11374","2902745 35 98th St Unit 15A, Queens, NY 11374","New York","Queens County",Queens,"Rego Park",61-35,"61-35 98th St #15a, Rego Park, NY 11374, USA",40.7343409,-73.859014
"Brokered by Spire Group Inc.- Main Office","Condo for sale",399000,1,500,"664 W 161st St Apt 1F","New York, NY 10032","664 W 161st St Apt 1F, New York, NY 10032","New York","New York County","New York",Manhattan,664,"664 W 161st St #1f, New York, NY 10032, USA",40.8374911,-73.9456039
"Brokered by Llk Homes Realty Inc.","Co-op for sale",209000,1,1078,"4410 Cayuga Ave Unit B3","Bronx, NY 10471","4410 Cayuga Ave Unit B3, Bronx, NY 10471","New York","Bronx County","The Bronx",Fieldston,4410,"4410 Cayuga Ave Bsmt B3, Bronx, NY 10471, USA",40.8915963,-73.8989828
"Brokered by EXP Realty - HAUPPAUGE","House for sale",625000,2,2189,"132-11 Centreville St","Ozone Park, NY 11417","132-11 Centreville St, Ozone Park, NY 11417","United States","New York","Queens County",Queens,"Centerville Street","132-11 Centerville St, Ozone Park, NY 11417, USA",40.6765364,-73.8351774
"Brokered by F.G. VOLPE REALTY ""SERVICING STATEN ISLAND""","Multi-family home for sale",924800,3,2049,"315 Main St","Staten Island, NY 10307","315 Main St, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Main Street","315 Main St, Staten Island, NY 10307, USA",40.5075446,-74.2461088
"Brokered by Neuhaus Realty, Inc.","Multi-family home for sale",995000,2,2288,"65 Rensselaer Ave Unit A","Staten Island, NY 10312","65 Rensselaer Ave Unit A, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Rensselaer Avenue","65 Rensselaer Ave, Staten Island, NY 10312, USA",40.5501403,-74.1810379
"Brokered by Douglas Elliman - 1995 Broadway","Condo for sale",16500000,4,4105,"2150 Broadway","New York, NY 10023","2150 Broadway, New York, NY 10023","United States","New York","New York County","New York",Broadway,"2150 Broadway, New York, NY 10023, USA",40.7814599,-73.9806864
"Brokered by Homefinders of SI Inc.","Townhouse for sale",695000,2.5,1793,"370 Windham Loop","Staten Island, NY 10314","370 Windham Loop, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Windham Loop","370 Windham Loop, Staten Island, NY 10314, USA",40.5763909,-74.1631382
"Brokered by Douglas Elliman - 1995 Broadway","Condo for sale",16500000,4,4105,"2150 Broadway","New York, NY 10023","2150 Broadway, New York, NY 10023","United States","New York","New York County","New York",Broadway,"2150 Broadway, New York, NY 10023, USA",40.7814599,-73.9806864
"Brokered by Homefinders of SI Inc.","Townhouse for sale",695000,2.5,1793,"370 Windham Loop","Staten Island, NY 10314","370 Windham Loop, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Windham Loop","370 Windham Loop, Staten Island, NY 10314, USA",40.5763909,-74.1631382
"Brokered by Tom Crimmins Realty, Ltd.","Multi-family home for sale",899000,3,1980,"1009 Forest Ave","Staten Island, NY 10310","1009 Forest Ave, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Forest Avenue","1009 Forest Ave, Staten Island, NY 10310, USA",40.6275175,-74.1233766
"Brokered by Coldwell Banker American Homes","House for sale",399999,1,2203,"320C Beach 101st St","Rockaway Park, NY 11694","320C Beach 101st St, Rockaway Park, NY 11694","United States","New York","Queens County",Queens,"Beach 101st Street","320 Beach 101st St, Rockaway Park, NY 11694, USA",40.5853532,-73.8227113
"Brokered by Madison Estates Sotheby's International Realty","Co-op for sale",215000,1,1100,"1075 Ocean Pkwy Apt 1C","Brooklyn, NY 11230","1075 Ocean Pkwy Apt 1C, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Midwood,1075,"1075 Ocean Pkwy #1c, Brooklyn, NY 11230, USA",40.622324,-73.9695073
"Brokered by GANG JASON A","Co-op for sale",270000,2,900,"33-05 92nd St Unit 1C","Jackson Heights, NY 11372","33-05 92nd St Unit 1C, Jackson Heights, NY 11372","New York","Queens County",Queens,"Jackson Heights",33-05,"33-05 92nd St #1c, Jackson Heights, NY 11372, USA",40.7562792,-73.8758052
"Brokered by Corcoran SoHo","Co-op for sale",565000,1,2188,"78 8th Ave Apt 2K","Brooklyn, NY 11215","78 8th Ave Apt 2K, Brooklyn, NY 11215","New York","Kings County",Brooklyn,"Park Slope",78,"78 8th Ave #2k, Brooklyn, NY 11215, USA",40.6733809,-73.9732475
"Brokered by B Square Realty","Multi-family home for sale",849000,3,2199,"65 Grant Ave","Brooklyn, NY 11208","65 Grant Ave, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Grant Avenue","65 Grant Ave, Brooklyn, NY 11208, USA",40.6895034,-73.8684501
